T,Cp,S,H
5.0,0.0354134,0.00597888,0.0260575
10.0,0.283306,0.103542,0.803054
20.0,1.75022,0.567536,8.21662
30.0,8.46152,2.36315,54.7587
40.0,19.3253,6.19876,190.673
50.0,35.4108,12.1057,458.353
75.0,119.315,39.9549,2245.17
100.0,276.765,94.0426,7039.26
125.0,506.792,179.27,16694.6
150.0,790.126,296.134,32826.6
175.0,1095.55,440.779,56383.3
200.0,1396.19,606.862,87561.2
225.0,1675.66,787.702,126014.0
250.0,1926.59,977.501,171105.0
275.0,2147.42,1171.72,222092.0
298.15,2326.34,1352.58,273921.0
300.0,2339.64,1367.01,278237.0
325.0,2506.14,1561.01,338860.0
350.0,2650.21,1752.14,403357.0
375.0,2775.11,1939.35,471210.0
400.0,2883.8,2122.0,541978.0
425.0,2978.95,2299.74,615288.0
450.0,3062.85,2472.44,690831.0
475.0,3137.48,2640.08,768353.0
500.0,3204.52,2802.74,847642.0
525.0,3265.41,2960.59,928528.0
550.0,3321.33,3113.8,1010870.0
575.0,3373.27,3262.6,1094560.0
600.0,3422.06,3407.2,1179510.0
625.0,3468.37,3547.85,1265640.0
650.0,3512.73,3684.75,1352910.0
675.0,3555.57,3818.13,1441270.0
700.0,3597.24,3948.19,1530680.0
725.0,3637.98,4075.14,1621120.0
750.0,3678.01,4199.15,1712570.0
775.0,3717.46,4320.39,1805020.0
800.0,3756.42,4439.03,1898440.0
825.0,3794.98,4555.21,1992840.0
